Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,0,1,0
2014,2,2,2,2
2014,3,4,3,6
2014,4,22,4,28
2014,5,13,5,41
2014,6,15,6,56
2014,7,8,7,64
2014,8,21,8,85
2014,9,11,9,96
2014,10,16,10,112
2014,11,16,11,128
2014,12,5,12,133
2014,13,6,13,139
2014,14,24,14,163
2014,15,28,15,191
2014,16,10,16,201
2014,17,17,17,218
2014,18,24,18,242
2014,19,34,19,276
2014,20,46,20,322
2014,21,28,21,350
2014,22,47,22,397
2014,23,50,23,447
2014,24,43,24,490
2014,25,30,25,520
2014,26,48,26,568
2014,27,41,27,609
2014,28,55,28,664
2014,29,43,29,707
2014,30,47,30,754
2014,31,56,31,810
2014,32,27,32,837
2014,33,22,33,859
2014,34,27,34,886
2014,35,40,35,926
2014,36,18,36,944
2014,37,51,37,995
2014,38,56,38,1051
2014,39,20,39,1071
2014,40,39,40,1110
2014,41,38,41,1148
2014,42,37,42,1185
2014,43,55,43,1240
2014,44,61,44,1301
2014,45,48,45,1349
2014,46,39,46,1388
2014,47,44,47,1432
2014,48,48,48,1480
2014,49,23,49,1503
2014,50,68,50,1571
2014,51,0,51,1571
2014,52,0,52,1571
2014,53,44,53,1615
2015,1,4,54,1619
2015,2,8,55,1627
2015,3,13,56,1640
2015,4,24,57,1664
2015,5,24,58,1688
2015,6,21,59,1709
2015,7,28,60,1737
2015,8,16,61,1753
2015,9,77,62,1830
2015,10,25,63,1855
2015,11,64,64,1919
2015,12,78,65,1997
2015,13,37,66,2034
2015,14,75,67,2109
2015,15,67,68,2176
2015,16,40,69,2216
2015,17,39,70,2255
2015,18,74,71,2329
2015,19,82,72,2411
2015,20,68,73,2479
2015,21,109,74,2588
2015,22,115,75,2703
2015,23,108,76,2811
2015,24,68,77,2879
2015,25,76,78,2955
2015,26,90,79,3045
2015,27,86,80,3131
2015,28,81,81,3212
2015,29,67,82,3279
2015,30,49,83,3328
2015,31,45,84,3373
2015,32,74,85,3447
2015,33,70,86,3517
2015,34,88,87,3605
2015,35,55,88,3660
2015,36,30,89,3690
2015,37,73,90,3763
2015,38,58,91,3821
2015,39,102,92,3923
2015,40,93,93,4016
2015,41,55,94,4071
2015,42,99,95,4170
2015,43,113,96,4283
2015,44,96,97,4379
2015,45,138,98,4517
2015,46,142,99,4659
2015,47,101,100,4760
2015,48,114,101,4874
2015,49,172,102,5046
2015,50,158,103,5204
2015,51,33,104,5237
2015,52,91,105,5328
2016,1,17,106,5345
2016,2,49,107,5394
2016,3,28,108,5422
2016,4,56,109,5478
2016,5,66,110,5544
2016,6,52,111,5596
2016,7,59,112,5655
2016,8,68,113,5723
2016,9,45,114,5768
2016,10,80,115,5848
2016,11,23,116,5871
2016,12,16,117,5887
2016,13,85,118,5972
2016,14,27,119,5999
2016,15,46,120,6045
2016,16,55,121,6100
2016,17,92,122,6192
2016,18,92,123,6284
2016,19,83,124,6367
2016,20,76,125,6443
2016,21,35,126,6478
2016,22,78,127,6556
2016,23,22,128,6578
2016,24,74,129,6652
2016,25,79,130,6731
2016,26,33,131,6764
2016,27,54,132,6818
2016,28,66,133,6884
2016,29,74,134,6958
2016,30,48,135,7006
2016,31,67,136,7073
2016,32,56,137,7129
2016,33,40,138,7169
2016,34,17,139,7186
2016,35,34,140,7220
2016,36,30,141,7250
2016,37,19,142,7269
2016,38,53,143,7322
2016,39,32,144,7354
2016,40,0,145,7354
2016,41,60,146,7414
2016,42,51,147,7465
2016,43,49,148,7514
2016,44,32,149,7546
2016,45,28,150,7574
2016,46,50,151,7624
2016,47,23,152,7647
2016,48,51,153,7698
2016,49,39,154,7737
2016,50,30,155,7767
2016,51,23,156,7790
2016,52,45,157,7835
2017,1,0,158,7835
2017,2,8,159,7843
2017,3,13,160,7856
2017,4,18,161,7874
2017,5,13,162,7887
2017,6,19,163,7906
2017,7,18,164,7924
2017,8,13,165,7937
2017,9,12,166,7949
2017,10,22,167,7971
2017,11,14,168,7985
2017,12,21,169,8006
2017,13,20,170,8026
2017,14,11,171,8037
2017,15,3,172,8040
