Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,0,1,0
2014,2,13,2,13
2014,3,0,3,13
2014,4,8,4,21
2014,5,5,5,26
2014,6,11,6,37
2014,7,7,7,44
2014,8,5,8,49
2014,9,14,9,63
2014,10,8,10,71
2014,11,12,11,83
2014,12,0,12,83
2014,13,10,13,93
2014,14,10,14,103
2014,15,13,15,116
2014,16,7,16,123
2014,17,13,17,136
2014,18,14,18,150
2014,19,11,19,161
2014,20,9,20,170
2014,21,13,21,183
2014,22,14,22,197
2014,23,18,23,215
2014,24,25,24,240
2014,25,4,25,244
2014,26,0,26,244
2014,27,18,27,262
2014,28,0,28,262
2014,29,15,29,277
2014,30,15,30,292
2014,31,0,31,292
2014,32,17,32,309
2014,33,12,33,321
2014,34,21,34,342
2014,35,14,35,356
2014,36,11,36,367
2014,37,8,37,375
2014,38,13,38,388
2014,39,0,39,388
2014,40,8,40,396
2014,41,15,41,411
2014,42,18,42,429
2014,43,16,43,445
2014,44,6,44,451
2014,45,0,45,451
2014,46,6,46,457
2014,47,17,47,474
2014,48,4,48,478
2014,49,14,49,492
2014,50,14,50,506
2014,51,27,51,533
2014,52,1,52,534
2014,53,16,53,550
2016,1,0,54,550
2016,2,0,55,550
2016,3,0,56,550
2016,4,0,57,550
2016,5,0,58,550
2016,6,0,59,550
2016,7,0,60,550
2016,8,0,61,550
2016,9,0,62,550
2016,10,0,63,550
2016,11,0,64,550
2016,12,0,65,550
2016,13,0,66,550
2016,14,0,67,550
2016,15,0,68,550
2016,16,0,69,550
2016,17,0,70,550
2016,18,0,71,550
2016,19,0,72,550
2016,20,0,73,550
2016,21,0,74,550
2016,22,0,75,550
2016,23,0,76,550
2016,24,0,77,550
2016,25,0,78,550
2016,26,0,79,550
2016,27,0,80,550
2016,28,0,81,550
2016,29,0,82,550
2016,30,0,83,550
2016,31,0,84,550
2016,32,0,85,550
2016,33,0,86,550
2016,34,0,87,550
2016,35,0,88,550
2016,36,0,89,550
2016,37,1,90,551
2016,38,0,91,551
2016,39,0,92,551
2016,40,0,93,551
2016,41,0,94,551
2016,42,0,95,551
2016,43,0,96,551
2016,44,0,97,551
2016,45,0,98,551
2016,46,0,99,551
2016,47,0,100,551
2016,48,0,101,551
2016,49,0,102,551
2016,50,0,103,551
2016,51,0,104,551
2016,52,0,105,551
2017,1,0,106,551
2017,2,0,107,551
2017,3,0,108,551
2017,4,0,109,551
2017,5,1,110,552
2017,6,0,111,552
2017,7,0,112,552
2017,8,0,113,552
2017,9,0,114,552
2017,10,0,115,552
2017,11,0,116,552
2017,12,0,117,552
2017,13,0,118,552
2017,14,0,119,552
2017,15,0,120,552
