Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,2,1,2
2014,2,5,2,7
2014,3,4,3,11
2014,4,5,4,16
2014,5,1,5,17
2014,6,4,6,21
2014,7,4,7,25
2014,8,2,8,27
2014,9,5,9,32
2014,10,5,10,37
2014,11,4,11,41
2014,12,6,12,47
2014,13,3,13,50
2014,14,2,14,52
2014,15,9,15,61
2014,16,4,16,65
2014,17,0,17,65
2014,18,8,18,73
2014,19,7,19,80
2014,20,10,20,90
2014,21,1,21,91
2014,22,5,22,96
2014,23,5,23,101
2014,24,3,24,104
2014,25,11,25,115
2014,26,9,26,124
2014,27,0,27,124
2014,28,17,28,141
2014,29,0,29,141
2014,30,2,30,143
2014,31,8,31,151
2014,32,9,32,160
2014,33,7,33,167
2014,34,7,34,174
2014,35,2,35,176
2014,36,1,36,177
2014,37,12,37,189
2014,38,2,38,191
2014,39,6,39,197
2014,40,6,40,203
2014,41,10,41,213
2014,42,7,42,220
2014,43,11,43,231
2014,44,5,44,236
2014,45,7,45,243
2014,46,6,46,249
2014,47,3,47,252
2014,48,2,48,254
2014,49,10,49,264
2014,50,2,50,266
2014,51,4,51,270
2014,52,3,52,273
2014,53,3,53,276
2016,1,10,54,286
2016,2,11,55,297
2016,3,3,56,300
2016,4,7,57,307
2016,5,1,58,308
2016,6,4,59,312
2016,7,2,60,314
2016,8,7,61,321
2016,9,4,62,325
2016,10,2,63,327
2016,11,5,64,332
2016,12,7,65,339
2016,13,1,66,340
2016,14,13,67,353
2016,15,5,68,358
2016,16,6,69,364
2016,17,8,70,372
2016,18,11,71,383
2016,19,7,72,390
2016,20,5,73,395
2016,21,5,74,400
2016,22,6,75,406
2016,23,7,76,413
2016,24,1,77,414
2016,25,3,78,417
2016,26,5,79,422
2016,27,3,80,425
2016,28,7,81,432
2016,29,4,82,436
2016,30,2,83,438
2016,31,0,84,438
2016,32,6,85,444
2016,33,7,86,451
2016,34,8,87,459
2016,35,3,88,462
2016,36,2,89,464
2016,37,5,90,469
2016,38,4,91,473
2016,39,2,92,475
2016,40,1,93,476
2016,41,0,94,476
2016,42,3,95,479
2016,43,2,96,481
2016,44,2,97,483
2016,45,3,98,486
2016,46,4,99,490
2016,47,3,100,493
2016,48,7,101,500
2016,49,2,102,502
2016,50,2,103,504
2016,51,1,104,505
2016,52,0,105,505
2017,1,4,106,509
2017,2,4,107,513
2017,3,6,108,519
2017,4,6,109,525
2017,5,6,110,531
2017,6,2,111,533
2017,7,3,112,536
2017,8,3,113,539
2017,9,4,114,543
2017,10,5,115,548
2017,11,2,116,550
2017,12,5,117,555
2017,13,9,118,564
2017,14,5,119,569
2017,15,0,120,569
