Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,3,1,3
2014,2,9,2,12
2014,3,13,3,25
2014,4,17,4,42
2014,5,10,5,52
2014,6,5,6,57
2014,7,10,7,67
2014,8,11,8,78
2014,9,13,9,91
2014,10,18,10,109
2014,11,18,11,127
2014,12,15,12,142
2014,13,12,13,154
2014,14,14,14,168
2014,15,0,15,168
2014,16,11,16,179
2014,17,0,17,179
2014,18,10,18,189
2014,19,12,19,201
2014,20,19,20,220
2014,21,20,21,240
2014,22,19,22,259
2014,23,15,23,274
2014,24,11,24,285
2014,25,13,25,298
2014,26,11,26,309
2014,27,9,27,318
2014,28,8,28,326
2014,29,11,29,337
2014,30,10,30,347
2014,31,6,31,353
2014,32,6,32,359
2014,33,5,33,364
2014,34,7,34,371
2014,35,8,35,379
2014,36,13,36,392
2014,37,14,37,406
2014,38,17,38,423
2014,39,18,39,441
2014,40,15,40,456
2014,41,17,41,473
2014,42,20,42,493
2014,43,16,43,509
2014,44,12,44,521
2014,45,17,45,538
2014,46,20,46,558
2014,47,22,47,580
2014,48,14,48,594
2014,49,11,49,605
2014,50,11,50,616
2014,51,10,51,626
2014,52,7,52,633
2014,53,2,53,635
2015,1,10,54,645
2015,2,6,55,651
2015,3,5,56,656
2015,4,11,57,667
2015,5,11,58,678
2015,6,8,59,686
2015,7,7,60,693
2015,8,17,61,710
2015,9,11,62,721
2015,10,15,63,736
2015,11,6,64,742
2015,12,4,65,746
2015,13,17,66,763
2015,14,12,67,775
2015,15,9,68,784
2015,16,10,69,794
2015,17,18,70,812
2015,18,9,71,821
2015,19,11,72,832
2015,20,4,73,836
2015,21,7,74,843
2015,22,18,75,861
2015,23,7,76,868
2015,24,2,77,870
2015,25,6,78,876
2015,26,4,79,880
2015,27,4,80,884
2015,28,7,81,891
2015,29,3,82,894
2015,30,4,83,898
2015,31,3,84,901
2015,32,3,85,904
2015,33,6,86,910
2015,34,10,87,920
2015,35,4,88,924
2015,36,6,89,930
2015,37,11,90,941
2015,38,19,91,960
2015,39,12,92,972
2015,40,9,93,981
2015,41,9,94,990
2015,42,14,95,1004
2015,43,21,96,1025
2015,44,14,97,1039
2015,45,15,98,1054
2015,46,15,99,1069
2015,47,7,100,1076
2015,48,12,101,1088
2015,49,13,102,1101
2015,50,20,103,1121
2015,51,6,104,1127
2015,52,8,105,1135
2016,1,6,106,1141
2016,2,9,107,1150
2016,3,3,108,1153
2016,4,17,109,1170
2016,5,8,110,1178
2016,6,8,111,1186
2016,7,7,112,1193
2016,8,11,113,1204
2016,9,10,114,1214
2016,10,6,115,1220
2016,11,15,116,1235
2016,12,8,117,1243
2016,13,24,118,1267
2016,14,10,119,1277
2016,15,10,120,1287
2016,16,7,121,1294
2016,17,8,122,1302
2016,18,14,123,1316
2016,19,21,124,1337
2016,20,23,125,1360
2016,21,7,126,1367
2016,22,13,127,1380
2016,23,16,128,1396
2016,24,5,129,1401
2016,25,8,130,1409
2016,26,1,131,1410
2016,27,4,132,1414
2016,28,4,133,1418
2016,29,4,134,1422
2016,30,3,135,1425
2016,31,3,136,1428
2016,32,4,137,1432
2016,33,1,138,1433
2016,34,7,139,1440
2016,35,8,140,1448
2016,36,5,141,1453
2016,37,10,142,1463
2016,38,9,143,1472
2016,39,6,144,1478
2016,40,6,145,1484
2016,41,8,146,1492
2016,42,11,147,1503
2016,43,6,148,1509
2016,44,14,149,1523
2016,45,12,150,1535
2016,46,9,151,1544
2016,47,5,152,1549
2016,48,9,153,1558
2016,49,18,154,1576
2016,50,9,155,1585
2016,51,7,156,1592
2016,52,8,157,1600
2017,1,9,158,1609
2017,2,10,159,1619
2017,3,3,160,1622
2017,4,9,161,1631
2017,5,4,162,1635
2017,6,3,163,1638
2017,7,9,164,1647
2017,8,5,165,1652
2017,9,10,166,1662
2017,10,0,167,1662
2017,11,12,168,1674
2017,12,10,169,1684
2017,13,2,170,1686
2017,14,9,171,1695
2017,15,6,172,1701
