Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,0,1,0
2014,2,3,2,3
2014,3,8,3,11
2014,4,10,4,21
2014,5,22,5,43
2014,6,22,6,65
2014,7,12,7,77
2014,8,21,8,98
2014,9,24,9,122
2014,10,27,10,149
2014,11,16,11,165
2014,12,30,12,195
2014,13,37,13,232
2014,14,27,14,259
2014,15,30,15,289
2014,16,29,16,318
2014,17,35,17,353
2014,18,29,18,382
2014,19,35,19,417
2014,20,44,20,461
2014,21,32,21,493
2014,22,46,22,539
2014,23,53,23,592
2014,24,44,24,636
2014,25,43,25,679
2014,26,16,26,695
2014,27,25,27,720
2014,28,18,28,738
2014,29,26,29,764
2014,30,27,30,791
2014,31,34,31,825
2014,32,24,32,849
2014,33,16,33,865
2014,34,15,34,880
2014,35,26,35,906
2014,36,21,36,927
2014,37,25,37,952
2014,38,26,38,978
2014,39,21,39,999
2014,40,36,40,1035
2014,41,29,41,1064
2014,42,38,42,1102
2014,43,28,43,1130
2014,44,42,44,1172
2014,45,28,45,1200
2014,46,27,46,1227
2014,47,20,47,1247
2014,48,14,48,1261
2014,49,7,49,1268
2014,50,14,50,1282
2014,51,36,51,1318
2014,52,11,52,1329
2014,53,3,53,1332
2015,1,1,54,1333
2015,2,14,55,1347
2015,3,13,56,1360
2015,4,17,57,1377
2015,5,31,58,1408
2015,6,16,59,1424
2015,7,30,60,1454
2015,8,14,61,1468
2015,9,30,62,1498
2015,10,27,63,1525
2015,11,17,64,1542
2015,12,37,65,1579
2015,13,13,66,1592
2015,14,21,67,1613
2015,15,67,68,1680
2015,16,41,69,1721
2015,17,20,70,1741
2015,18,46,71,1787
2015,19,35,72,1822
2015,20,22,73,1844
2015,21,28,74,1872
2015,22,25,75,1897
2015,23,39,76,1936
2015,24,29,77,1965
2015,25,21,78,1986
2015,26,14,79,2000
2015,27,18,80,2018
2015,28,24,81,2042
2015,29,17,82,2059
2015,30,21,83,2080
2015,31,22,84,2102
2015,32,17,85,2119
2015,33,14,86,2133
2015,34,13,87,2146
2015,35,13,88,2159
2015,36,9,89,2168
2015,37,23,90,2191
2015,38,33,91,2224
2015,39,18,92,2242
2015,40,31,93,2273
2015,41,26,94,2299
2015,42,26,95,2325
2015,43,32,96,2357
2015,44,17,97,2374
2015,45,20,98,2394
2015,46,26,99,2420
2015,47,18,100,2438
2015,48,31,101,2469
2015,49,30,102,2499
2015,50,40,103,2539
2015,51,12,104,2551
2015,52,18,105,2569
2016,1,4,106,2573
2016,2,16,107,2589
2016,3,10,108,2599
2016,4,24,109,2623
2016,5,15,110,2638
2016,6,18,111,2656
2016,7,18,112,2674
2016,8,16,113,2690
2016,9,30,114,2720
2016,10,0,115,2720
2016,11,14,116,2734
2016,12,13,117,2747
2016,13,25,118,2772
2016,14,29,119,2801
2016,15,28,120,2829
2016,16,11,121,2840
2016,17,15,122,2855
2016,18,25,123,2880
2016,19,44,124,2924
2016,20,29,125,2953
2016,21,33,126,2986
2016,22,23,127,3009
2016,23,44,128,3053
2016,24,16,129,3069
2016,25,21,130,3090
2016,26,19,131,3109
2016,27,12,132,3121
2016,28,23,133,3144
2016,29,15,134,3159
2016,30,15,135,3174
2016,31,11,136,3185
2016,32,14,137,3199
2016,33,13,138,3212
2016,34,11,139,3223
2016,35,13,140,3236
2016,36,23,141,3259
2016,37,20,142,3279
2016,38,30,143,3309
2016,39,31,144,3340
2016,40,10,145,3350
2016,41,26,146,3376
2016,42,18,147,3394
2016,43,11,148,3405
2016,44,29,149,3434
2016,45,29,150,3463
2016,46,27,151,3490
2016,47,9,152,3499
2016,48,14,153,3513
2016,49,21,154,3534
2016,50,20,155,3554
2016,51,6,156,3560
2016,52,11,157,3571
2017,1,1,158,3572
2017,2,9,159,3581
2017,3,8,160,3589
2017,4,6,161,3595
2017,5,27,162,3622
2017,6,17,163,3639
2017,7,11,164,3650
2017,8,22,165,3672
2017,9,17,166,3689
2017,10,36,167,3725
2017,11,22,168,3747
2017,12,33,169,3780
2017,13,15,170,3795
2017,14,12,171,3807
2017,15,18,172,3825
