Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,0,1,0
2014,2,0,2,0
2014,3,1,3,1
2014,4,2,4,3
2014,5,1,5,4
2014,6,0,6,4
2014,7,1,7,5
2014,8,0,8,5
2014,9,0,9,5
2014,10,0,10,5
2014,11,0,11,5
2014,12,3,12,8
2014,13,5,13,13
2014,14,2,14,15
2014,15,9,15,24
2014,16,4,16,28
2014,17,0,17,28
2014,18,9,18,37
2014,19,4,19,41
2014,20,2,20,43
2014,21,5,21,48
2014,22,1,22,49
2014,23,2,23,51
2014,24,1,24,52
2014,25,1,25,53
2014,26,1,26,54
2014,27,0,27,54
2014,28,1,28,55
2014,29,2,29,57
2014,30,1,30,58
2014,31,0,31,58
2014,32,1,32,59
2014,33,1,33,60
2014,34,1,34,61
2014,35,3,35,64
2014,36,3,36,67
2014,37,0,37,67
2014,38,2,38,69
2014,39,0,39,69
2014,40,1,40,70
2014,41,0,41,70
2014,42,0,42,70
2014,43,1,43,71
2014,44,1,44,72
2014,45,2,45,74
2014,46,2,46,76
2014,47,0,47,76
2014,48,0,48,76
2014,49,1,49,77
2014,50,0,50,77
2014,51,2,51,79
2014,52,0,52,79
2014,53,0,53,79
2015,1,1,54,80
2015,2,1,55,81
2015,3,0,56,81
2015,4,1,57,82
2015,5,0,58,82
2015,6,0,59,82
2015,7,0,60,82
2015,8,1,61,83
2015,9,0,62,83
2015,10,1,63,84
2015,11,1,64,85
2015,12,1,65,86
2015,13,0,66,86
2015,14,0,67,86
2015,15,0,68,86
2015,16,1,69,87
2015,17,0,70,87
2015,18,1,71,88
2015,19,0,72,88
2015,20,0,73,88
2015,21,0,74,88
2015,22,0,75,88
2015,23,0,76,88
2015,24,0,77,88
2015,25,1,78,89
2015,26,0,79,89
2015,27,0,80,89
2015,28,0,81,89
2015,29,0,82,89
2015,30,0,83,89
2015,31,0,84,89
2015,32,0,85,89
2015,33,0,86,89
2015,34,0,87,89
2015,35,1,88,90
2015,36,1,89,91
2015,37,1,90,92
2015,38,0,91,92
2015,39,1,92,93
2015,40,1,93,94
2015,41,1,94,95
2015,42,0,95,95
2015,43,0,96,95
2015,44,2,97,97
2015,45,0,98,97
2015,46,0,99,97
2015,47,0,100,97
2015,48,0,101,97
2015,49,0,102,97
2015,50,0,103,97
2015,51,0,104,97
2015,52,0,105,97
2016,1,3,106,100
2016,2,0,107,100
2016,3,1,108,101
2016,4,0,109,101
2016,5,2,110,103
2016,6,3,111,106
2016,7,0,112,106
2016,8,1,113,107
2016,9,2,114,109
2016,10,0,115,109
2016,11,1,116,110
2016,12,1,117,111
2016,13,1,118,112
2016,14,1,119,113
2016,15,0,120,113
2016,16,0,121,113
2016,17,0,122,113
2016,18,1,123,114
2016,19,0,124,114
2016,20,0,125,114
2016,21,0,126,114
2016,22,2,127,116
2016,23,0,128,116
2016,24,0,129,116
2016,25,0,130,116
2016,26,0,131,116
2016,27,0,132,116
2016,28,0,133,116
2016,29,1,134,117
2016,30,0,135,117
2016,31,0,136,117
2016,32,0,137,117
2016,33,0,138,117
2016,34,0,139,117
2016,35,0,140,117
2016,36,0,141,117
2016,37,0,142,117
2016,38,0,143,117
2016,39,0,144,117
2016,40,0,145,117
2016,41,0,146,117
2016,42,0,147,117
2016,43,1,148,118
2016,44,1,149,119
2016,45,0,150,119
2016,46,0,151,119
2016,47,0,152,119
2016,48,0,153,119
2016,49,0,154,119
2016,50,1,155,120
2016,51,0,156,120
2016,52,0,157,120
2017,1,1,158,121
2017,2,1,159,122
2017,3,0,160,122
2017,4,3,161,125
2017,5,0,162,125
2017,6,0,163,125
2017,7,0,164,125
2017,8,0,165,125
2017,9,0,166,125
2017,10,3,167,128
2017,11,1,168,129
2017,12,0,169,129
2017,13,0,170,129
2017,14,1,171,130
2017,15,0,172,130
