Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,5,1,5
2014,2,5,2,10
2014,3,4,3,14
2014,4,2,4,16
2014,5,2,5,18
2014,6,4,6,22
2014,7,10,7,32
2014,8,3,8,35
2014,9,4,9,39
2014,10,4,10,43
2014,11,4,11,47
2014,12,7,12,54
2014,13,4,13,58
2014,14,0,14,58
2014,15,5,15,63
2014,16,2,16,65
2014,17,8,17,73
2014,18,3,18,76
2014,19,9,19,85
2014,20,4,20,89
2014,21,2,21,91
2014,22,9,22,100
2014,23,5,23,105
2014,24,14,24,119
2014,25,1,25,120
2014,26,7,26,127
2014,27,1,27,128
2014,28,1,28,129
2014,29,3,29,132
2014,30,4,30,136
2014,31,5,31,141
2014,32,4,32,145
2014,33,0,33,145
2014,34,1,34,146
2014,35,0,35,146
2014,36,3,36,149
2014,37,8,37,157
2014,38,2,38,159
2014,39,4,39,163
2014,40,1,40,164
2014,41,2,41,166
2014,42,3,42,169
2014,43,6,43,175
2014,44,13,44,188
2014,45,8,45,196
2014,46,6,46,202
2014,47,4,47,206
2014,48,2,48,208
2014,49,3,49,211
2014,50,2,50,213
2014,51,0,51,213
2014,52,0,52,213
2014,53,0,53,213
2015,1,4,54,217
2015,2,5,55,222
2015,3,3,56,225
2015,4,4,57,229
2015,5,8,58,237
2015,6,0,59,237
2015,7,5,60,242
2015,8,4,61,246
2015,9,5,62,251
2015,10,2,63,253
2015,11,7,64,260
2015,12,6,65,266
2015,13,3,66,269
2015,14,5,67,274
2015,15,5,68,279
2015,16,6,69,285
2015,17,2,70,287
2015,18,2,71,289
2015,19,5,72,294
2015,20,0,73,294
2015,21,3,74,297
2015,22,1,75,298
2015,23,3,76,301
2015,24,2,77,303
2015,25,4,78,307
2015,26,1,79,308
2015,27,1,80,309
2015,28,0,81,309
2015,29,2,82,311
2015,30,2,83,313
2015,31,3,84,316
2015,32,1,85,317
2015,33,3,86,320
2015,34,3,87,323
2015,35,0,88,323
2015,36,1,89,324
2015,37,7,90,331
2015,38,8,91,339
2015,39,4,92,343
2015,40,2,93,345
2015,41,5,94,350
2015,42,4,95,354
2015,43,7,96,361
2015,44,7,97,368
2015,45,6,98,374
2015,46,3,99,377
2015,47,4,100,381
2015,48,5,101,386
2015,49,7,102,393
2015,50,4,103,397
2015,51,2,104,399
2015,52,3,105,402
2016,1,6,106,408
2016,2,4,107,412
2016,3,2,108,414
2016,4,7,109,421
2016,5,5,110,426
2016,6,0,111,426
2016,7,1,112,427
2016,8,4,113,431
2016,9,2,114,433
2016,10,2,115,435
2016,11,1,116,436
2016,12,4,117,440
2016,13,4,118,444
2016,14,4,119,448
2016,15,9,120,457
2016,16,12,121,469
2016,17,4,122,473
2016,18,5,123,478
2016,19,10,124,488
2016,20,7,125,495
2016,21,7,126,502
2016,22,1,127,503
2016,23,1,128,504
2016,24,3,129,507
2016,25,0,130,507
2016,26,2,131,509
2016,27,0,132,509
2016,28,1,133,510
2016,29,1,134,511
2016,30,2,135,513
2016,31,1,136,514
2016,32,3,137,517
2016,33,0,138,517
2016,34,2,139,519
2016,35,0,140,519
2016,36,1,141,520
2016,37,2,142,522
2016,38,2,143,524
2016,39,5,144,529
2016,40,1,145,530
2016,41,8,146,538
2016,42,7,147,545
2016,43,12,148,557
2016,44,4,149,561
2016,45,4,150,565
2016,46,0,151,565
2016,47,2,152,567
2016,48,1,153,568
2016,49,4,154,572
2016,50,6,155,578
2016,51,6,156,584
2016,52,1,157,585
2017,1,2,158,587
2017,2,3,159,590
2017,3,2,160,592
2017,4,5,161,597
2017,5,2,162,599
2017,6,2,163,601
2017,7,3,164,604
2017,8,1,165,605
2017,9,5,166,610
2017,10,6,167,616
2017,11,3,168,619
2017,12,3,169,622
2017,13,1,170,623
2017,14,1,171,624
2017,15,2,172,626
